submission_date;state;tot_cases;conf_cases;prob_cases;new_case;pnew_case;tot_death;conf_death;prob_death;new_death;pnew_death;created_at;consent_cases;consent_deaths
01/02/2021;SD;99,829;;;665;171;1,501;1,213;288;13;4;01/03/2021 02:53:25 PM;N/A;Agree
04/26/2021;NY;1,111,096;;;1,696;0;19,343;;;23;0;04/27/2021 01:56:18 PM;Not agree;Not agree
06/03/2020;NY;169,213;;;550;0;8,230;;;32;0;06/04/2020 03:03:31 PM;Not agree;Not agree
12/10/2020;PA;457,379;422,129;35,250;11,981;906;12,010;;;248;189;12/11/2020 03:06:51 PM;Agree;Not agree
02/16/2020;IA;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
03/23/2021;SD;116,100;;;128;18;1,923;1,567;356;0;0;03/24/2021 02:16:52 PM;N/A;Agree
04/12/2020;OH;6,518;;;268;;248;;;1;;04/11/2020 04:22:39 PM;Agree;Agree
06/30/2021;TN;867,173;713,495;153,678;264;80;12,584;10,136;2,448;3;0;06/30/2021 12:00:00 AM;Agree;Agree
06/28/2020;IA;28,489;;;477;0;705;;;1;0;06/29/2020 02:37:31 PM;Not agree;Not agree
06/01/2020;SD;5,034;;;41;0;62;61;1;0;1;06/02/2020 02:16:17 PM;N/A;Agree
06/06/2021;TN;863,051;710,636;152,415;80;27;12,499;10,062;2,437;7;0;06/06/2021 12:00:00 AM;Agree;Agree
05/29/2021;NY;1,150,405;;;532;0;19,759;;;6;0;05/30/2021 01:32:12 PM;Not agree;Not agree
12/14/2020;OH;570,602;522,467;48,135;7,875;1,399;7,551;6,972;579;59;10;12/15/2020 02:39:02 PM;Agree;Agree
08/25/2020;PA;130,035;126,350;3,685;561;33;7,605;;;26;19;08/26/2020 01:51:40 PM;Agree;Not agree
05/15/2020;IA;14,049;;;374;0;336;;;18;0;05/16/2020 03:46:44 PM;Not agree;Not agree
06/15/2021;TN;864,604;711,717;152,887;98;34;12,532;10,090;2,442;0;0;06/15/2021 12:00:00 AM;Agree;Agree
09/17/2020;OH;141,585;134,001;7,584;1,067;112;4,580;4,282;298;25;-1;09/18/2020 01:48:37 PM;Agree;Agree
07/12/2020;IA;35,171;;;524;0;750;;;2;0;07/13/2020 03:19:34 PM;Not agree;Not agree
02/03/2020;NM;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;N/A;Not agree
07/09/2020;PA;93,876;91,206;2,670;1,009;5;6,880;;;32;-17;07/10/2020 03:35:06 PM;Agree;Not agree
04/07/2020;NY;61,897;;;3,709;;1,378;;;181;;04/07/2020 04:22:39 PM;Not agree;Not agree
02/14/2020;NY;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
10/16/2020;NY;228,173;;;1,047;0;9,136;;;9;0;10/17/2020 02:09:18 PM;Not agree;Not agree
06/14/2021;OH;1,107,225;926,189;181,036;178;44;20,091;20,091;0;0;0;06/15/2021 02:44:13 PM;Agree;Agree
09/26/2020;NM;28,692;;;205;0;868;;;3;1;09/28/2020 12:00:00 AM;N/A;Not agree
03/09/2021;RMI;4;4;0;0;0;0;0;0;0;0;03/10/2021 02:58:31 PM;Agree;Agree
05/08/2021;TN;851,267;702,475;148,792;697;224;12,290;9,888;2,402;7;1;05/08/2021 12:00:00 AM;Agree;Agree
02/03/2021;TN;741,305;625,898;115,407;2,753;706;10,699;8,628;2,071;43;9;02/03/2021 12:00:00 AM;Agree;Agree
01/04/2021;IA;285,476;;;1,098;396;3,992;;;46;46;01/05/2021 03:00:42 PM;Not agree;Not agree
04/30/2020;RMI;0;0;0;0;0;0;0;0;0;0;05/01/2020 09:00:19 PM;Agree;Agree
05/29/2020;SD;4,866;;;73;0;59;59;0;5;0;05/30/2020 03:47:59 PM;N/A;Agree
09/02/2020;SD;14,003;;;254;0;169;167;2;2;0;09/03/2020 02:18:16 PM;N/A;Agree
01/10/2021;IA;296,480;;;1,127;188;4,138;;;11;11;01/11/2021 03:01:02 PM;Not agree;Not agree
06/15/2020;NY;173,685;;;239;0;8,521;;;19;0;06/16/2020 02:10:11 PM;Not agree;Not agree
02/12/2021;NM;179,724;;;401;0;3,883;;;10;0;02/14/2021 12:00:00 AM;N/A;Not agree
02/01/2020;RMI;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Agree;Agree
09/10/2020;NM;26,429;;;161;0;837;;;0;0;09/12/2020 12:00:00 AM;N/A;Not agree
09/03/2020;NM;25,812;;;200;0;824;;;3;1;09/05/2020 12:00:00 AM;N/A;Not agree
01/11/2021;IA;297,301;;;821;343;4,139;;;1;1;01/12/2021 02:48:35 PM;Not agree;Not agree
05/06/2020;PA;51,845;51,845;0;888;-786;3,106;;;94;-42;05/07/2020 10:59:02 PM;Agree;Not agree
06/30/2020;NM;12,147;;;165;0;537;;;3;0;07/02/2020 12:00:00 AM;N/A;Not agree
06/19/2021;IA;373,046;;;75;9;6,111;;;1;1;06/19/2021 12:00:00 AM;Not agree;Not agree
